word	synsets
абсорбировать_VERB	["115221-V", "115222-V"]
автоклавировать_VERB	["137819-V", "4688-V", "9880-V"]
автомобиль::сбил_VERB	["115804-V", "117015-V", "147427-V"]
автомобиль::сбил_VERB	["113769-V", "127172-V"]
агитировать_VERB	["106972-V", "116816-V"]
агитировать_VERB	["106542-V", "119127-V", "1885-V"]
агитировать_VERB	["106501-V"]
адаптировать_VERB	["106629-V", "106631-V", "120394-V"]
адресовать_VERB	["107008-V", "119751-V"]
адресовать_VERB	["114501-V", "115645-V"]
адресоваться_VERB	["107008-V", "119751-V"]
адресоваться_VERB	["114501-V", "115645-V"]
аккумулировать_VERB	["112077-V", "116549-V"]
амнистировать_VERB	["115444-V", "120034-V"]
амнистировать_VERB	["117915-V", "135001-V"]
амортизировать_VERB	["106638-V", "110894-V"]
амортизировать_VERB	["111493-V", "118894-V"]
амортизировать::имущество_VERB	["106638-V", "110894-V"]
ампутировать_VERB	["5390-V"]
ампутировать_VERB	["107417-V", "110832-V"]
анализировать::данные_VERB	["106686-V", "106897-V", "106898-V"]
анализировать::данные_VERB	["106534-V", "145152-V"]
анализировать::информацию_VERB	["106686-V", "106897-V", "106898-V"]
анализировать::информацию_VERB	["106534-V", "145152-V"]
анатомировать_VERB	["107412-V", "125757-V"]
ангажировать_VERB	["115487-V", "136808-V"]
ангажировать_VERB	["106818-V", "137297-V"]
ангажировать::на::танец_VERB	["106818-V", "137297-V"]
анкетировать_VERB	["107256-V", "112077-V", "124530-V"]
аннексировать_VERB	["111668-V", "114372-V", "115072-V", "115075-V", "118698-V", "122242-V"]
аннексировать_VERB	["113962-V", "116663-V"]
аннексировать_VERB	["107328-V", "118966-V", "148420-V"]
аппроксимировать_VERB	["106886-V", "114457-V"]
арендовать::жилое::помещение_VERB	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
арендовать::жилую::площадь_VERB	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
арендовать::жилье_VERB	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
арендовать::квартиру_VERB	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
арканить_VERB	["115593-V", "121173-V"]
армировать_VERB	["106631-V", "135467-V"]
армировать_VERB	["106698-V", "111189-V"]
армировать_VERB	["106501-V"]
артачиться_VERB	["106702-V", "119293-V"]
артачиться_VERB	["106882-V", "114426-V", "120576-V"]
архивировать_VERB	["106819-V", "115759-V"]
архивировать::файл_VERB	["106819-V", "115759-V"]
ассимилировать_VERB	["115221-V", "115222-V"]
ассимилироваться_VERB	["115221-V", "115222-V"]
ассоциировать_VERB	["106557-V", "125092-V", "125093-V"]
асфальтировать_VERB	["107325-V", "110719-V", "111413-V", "111871-V"]
асфальтировать_VERB	["106501-V"]
атаковал::смертник_VERB	["139354-V", "151440-V", "3758-V"]
аттестовать_VERB	["111561-V", "115033-V", "150070-V"]
аттестоваться_VERB	["111561-V", "115033-V", "150070-V"]
аттестовывать_VERB	["111561-V", "115033-V", "150070-V"]
аудировать_VERB	["106695-V", "3513-V"]
ахать_VERB	["107093-V", "114103-V"]
ахать_VERB	["115116-V", "117948-V"]
ахнуть_VERB	["107093-V", "114103-V"]
ахнуть_VERB	["115116-V", "117948-V"]
аэрировать_VERB	["110751-V", "112275-V"]
бабахать_VERB	["107093-V", "114103-V"]
бабахать_VERB	["115116-V", "117948-V"]
бабахнуть_VERB	["107093-V", "114103-V"]
бабахнуть_VERB	["115116-V", "117948-V"]
балансировать_VERB	["106501-V", "106530-V"]
балансировать_VERB	["106490-V", "129710-V"]
балансироваться_VERB	["106817-V", "110474-V", "129710-V"]
бальзамировать_VERB	["111435-V", "111436-V", "117826-V"]
бальзамировать_VERB	["106626-V", "110437-V"]
банкротить_VERB	["111369-V", "118130-V", "118393-V", "118394-V", "126169-V"]
банкротиться_VERB	["111369-V", "118130-V", "118393-V", "118394-V", "126169-V"]
барражировать_VERB	["106597-V", "118780-V", "3977-V"]
баррикадировать_VERB	["115845-V", "119562-V", "120441-V"]
бастовать_VERB	["106501-V", "106702-V", "131954-V", "8089-V"]
бастовать_VERB	["106881-V", "124971-V", "8456-V"]
бахать_VERB	["107093-V", "114103-V"]
бахать_VERB	["115116-V", "117948-V"]
бахнуть_VERB	["107093-V", "114103-V"]
бахнуть_VERB	["115116-V", "117948-V"]
баюкать_VERB	["110453-V", "118657-V"]
баюкать_VERB	["115316-V", "116265-V"]
бегло::пробежать_VERB	["106915-V", "114267-V"]
бегло::просмотреть_VERB	["106915-V", "114267-V"]
бегло::прочитать_VERB	["106915-V", "114267-V"]
бегло::смотреть_VERB	["106915-V", "114267-V"]
бежать_VERB	["116230-V", "147589-V"]
бежать_VERB	["117944-V", "117947-V", "120457-V"]
бежать::из::зоны_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из::зоны_VERB	["107592-V", "647-V"]
бежать::из::тюрьмы_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из::тюрьмы_VERB	["107592-V", "647-V"]
бежать::из-под::стражи_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из-под::стражи_VERB	["107592-V", "647-V"]
белить_VERB	["106631-V", "147039-V"]
белить_VERB	["107417-V", "112139-V"]
белить_VERB	["106631-V", "107325-V", "107458-V"]
белить_VERB	["106501-V"]
бесить_VERB	["115820-V", "117994-V"]
беспробудно::пить_VERB	["107592-V", "117269-V", "4847-V"]
беспробудно::пьянствовать_VERB	["107592-V", "117269-V", "4847-V"]
бетонировать_VERB	["106631-V", "110751-V"]
бетонировать_VERB	["107325-V", "110719-V", "111413-V"]
бетонировать_VERB	["106501-V"]
бить::штрафной_VERB	["106504-V", "111022-V", "112933-V", "144387-V", "151504-V"]
биться::в::истерике_VERB	["107196-V", "116915-V"]
благовестить_VERB	["107386-V", "123878-V"]
благоволить_VERB	["106595-V", "112905-V", "116771-V"]
благоговеть_VERB	["110482-V", "116365-V", "118594-V", "129710-V"]
благоговеть_VERB	["113462-V", "114217-V"]
благоухать_VERB	["107248-V", "114103-V"]
блестеть_VERB	["106456-V", "106457-V"]
блестеть_VERB	["119699-V", "148998-V"]
блестеть::искрами_VERB	["113003-V", "113005-V"]
блеять_VERB	["107093-V", "114103-V"]
блокировать_VERB	["120502-V", "120503-V"]
блокировать_VERB	["115394-V", "121959-V"]
блокировать::банковский::счет_VERB	["106533-V", "122107-V"]
блокировать::банковский::счет_VERB	["116009-V", "118698-V"]
блокировать::движение_VERB	["116223-V", "119562-V", "154238-V"]
блокировать::движение_VERB	["111572-V", "118698-V"]
блокировать::проезд_VERB	["116223-V", "119562-V", "154238-V"]
блокировать::проезд_VERB	["111572-V", "118698-V"]
блокировать::счет_VERB	["106533-V", "122107-V"]
блокировать::счет_VERB	["116009-V", "118698-V"]
боготворить_VERB	["113462-V", "116921-V", "117722-V", "118494-V", "118798-V"]
богохульничать_VERB	["115208-V", "115890-V"]
богохульствовать_VERB	["115208-V", "115890-V"]
бойкотировать_VERB	["106501-V", "106702-V", "131954-V", "8089-V"]
бойкотировать_VERB	["106881-V", "124971-V", "8456-V"]
болеть_VERB	["118487-V", "118488-V"]
болеть::за::команду_VERB	["118487-V", "118488-V"]
болеть::за::спортсмена_VERB	["118487-V", "118488-V"]
болеть::против_VERB	["118487-V", "118488-V"]
болтать_VERB	["111147-V", "111156-V"]
болтать_VERB	["111680-V", "112819-V", "117692-V"]
болтать_VERB	["107404-V", "125601-V"]
болтаться_VERB	["111157-V", "115099-V"]
бомбардировать_VERB	["118698-V", "1664-V", "4547-V"]
