word	synsets
пустослов_NOUN	["130629-N", "150507-N"]
ракетка_NOUN	["106553-N", "130019-N", "131272-N", "2498-N"]
классный_ADJ::доска_NOUN	["1320-N", "3149-N"]
голова_NOUN	["106766-N", "148416-N"]
акробатика_NOUN	["126894-N", "126942-N", "5648-N"]
политический_ADJ::дискриминация_NOUN	["107181-N", "116506-N", "118094-N"]
ангола_NOUN	["2062-N", "445-N"]
кран_NOUN::на_ADP::автоход_NOUN	["154-N", "9209-N"]
урок_NOUN	["106723-N", "6718-N"]
видеоинсталляция_NOUN	["146419-N", "4908-N"]
постсоветский_ADJ::страна_NOUN	["149182-N", "445-N"]
белореченск_NOUN	["134530-N", "137780-N"]
макак_NOUN	["10072-N", "125275-N"]
псковскать_VERB::область_NOUN::._PUNCT	["2637-N", "2640-N"]
букетик_NOUN	["106508-N", "107335-N"]
крапива_NOUN	["144172-N", "4201-N", "4789-N"]
глашатай_NOUN	["106579-N", "124381-N"]
збруч_NOUN	["100022-N", "100079-N", "152701-N"]
разворот_NOUN	["111708-N", "113869-N"]
визуальный_ADJ::эффект_NOUN	["106828-N", "112046-N", "138549-N"]
полчасика_NOUN	["107018-N", "107197-N"]
свободный_ADJ::волеизъявление_NOUN::гражданин_NOUN	["10119-N", "106877-N", "153350-N"]
архипелагать_NOUN::императрица_NOUN::Евгений_NOUN	["134723-N", "6943-N"]
митино_NOUN	["100076-N", "101897-N", "4250-N"]
совхоз_NOUN	["120138-N", "134279-N", "2530-N", "2531-N", "2532-N"]
лечебный_ADJ::банк_NOUN	["126891-N", "2977-N"]
река_NOUN::миссисипь_NOUN	["100022-N", "152701-N"]
нержавейка_NOUN	["131290-N", "132878-N", "65-N", "983-N"]
незаконный_ADJ::доступ_NOUN::к_ADP::сведение_NOUN	["117776-N", "124021-N", "142340-N"]
ванилин_NOUN	["107911-N", "370-N", "4681-N", "5735-N"]
плебисцит_NOUN	["10119-N", "106877-N", "153350-N"]
фармзавод_NOUN	["525-N", "57-N", "8175-N"]
эфа_NOUN	["107967-N", "107998-N", "125296-N"]
уход_NOUN::за_ADP::неизлечимый_ADJ::больной_NOUN	["1062-N", "118621-N", "151667-N"]
аппетит_NOUN	["106476-N", "106651-N"]
требование_NOUN::этика_NOUN	["106512-N", "140052-N", "140053-N"]
штопор_NOUN::для_ADP::открывание_NOUN::бутылка_NOUN	["106554-N", "107233-N"]
ликвидность_NOUN::банк_NOUN	["148988-N", "151228-N", "7072-N"]
офис_NOUN::дирекция_NOUN	["140569-N", "3265-N"]
молочный_ADJ::смесь_NOUN::для_ADP::ребенок_NOUN	["106536-N", "114425-N"]
пиратский_ADJ::копирование_NOUN	["112045-N", "7387-N", "7652-N"]
инакомыслие_NOUN	["106881-N", "117017-N", "119563-N", "136054-N"]
простукивание_NOUN	["106901-N", "121205-N"]
эмансипация_NOUN::женщина_NOUN	["116636-N", "120955-N"]
лайка_NOUN	["4454-N", "7678-N"]
лебедин_NOUN	["123680-N", "145516-N", "242-N"]
агломерациоть_ADJ::производство_NOUN	["1221-N", "467-N"]
авиационный_ADJ::завод_NOUN	["121655-N", "57-N"]
река_NOUN::синар_NOUN	["100022-N", "100079-N", "152701-N"]
центральный_ADJ::район_NOUN	["100076-N", "105349-N", "141816-N"]
кипение_NOUN	["113288-N", "119726-N"]
безучастие_NOUN	["106647-N", "118203-N"]
смоленский_ADJ::область_NOUN	["2637-N", "2640-N"]
иммунный_ADJ::механизм_NOUN	["106580-N", "145815-N"]
клубничный_ADJ::цвет_NOUN	["106944-N", "109437-N", "109480-N"]
дивать_VERB::подушка_NOUN	["106554-N", "130019-N", "146828-N"]
перетряхивание_NOUN	["120003-N", "120040-N"]
меломан_NOUN	["110091-N", "150555-N"]
портвейн_NOUN	["108232-N", "132277-N", "140987-N", "8367-N"]
ипотечный_ADJ::кредитование_NOUN	["150854-N", "150856-N"]
процесс_NOUN::по_ADP::гражданский_ADJ::дело_NOUN	["106898-N", "149658-N", "2458-N"]
шить_VERB::обувь_NOUN	["106495-N", "110801-N"]
осадка_NOUN	["106717-N", "106757-N", "106759-N"]
органичность_NOUN	["120158-N", "121364-N", "137664-N"]
работница_NOUN::аппарат_NOUN	["139497-N", "2551-N"]
латка_NOUN	["106509-N", "106554-N", "107131-N"]
генассамблеть_VERB::оон_NOUN	["106560-N", "117041-N"]
пережигание_NOUN	["106483-N", "113411-N"]
игротека_NOUN	["145191-N", "152346-N", "2525-N"]
косынка_NOUN	["108676-N", "1256-N"]
главный_ADJ::редактор_NOUN	["106606-N", "2253-N", "2551-N", "2674-N", "3361-N", "7238-N"]
тамбур_ADV::входной_ADJ::дверь_NOUN	["106573-N", "148112-N", "3537-N"]
экспортный_ADJ::деятельность_NOUN	["110908-N", "118819-N"]
госучастие_NOUN	["1263-N", "144027-N", "3978-N"]
обособление_NOUN	["111588-N", "115880-N"]
автомобильный_ADJ::мойка_NOUN	["106622-N", "157-N", "2878-N"]
нефтегазовый_ADJ::отрасль_NOUN	["460-N", "462-N", "531-N"]
овощехранилище_NOUN	["106625-N", "3265-N"]
алеутский_ADJ::язык_NOUN	["148133-N", "148203-N"]
бритва_NOUN	["133850-N", "9651-N"]
парусник_NOUN	["4609-N", "8952-N"]
прекращение_NOUN::уголовный_ADJ::преследование_NOUN	["117915-N", "135001-N"]
демпинговой_ADJ::занижение_NOUN	["133994-N", "137766-N", "601-N", "833-N"]
скотоложство_NOUN	["121164-N", "136571-N"]
антракс_NOUN	["1054-N", "136228-N", "2143-N", "616-N"]
комдив_NOUN	["8414-N", "889-N"]
привычный_ADJ::колея_NOUN	["120593-N", "123497-N"]
инжирный_ADJ::дерево_NOUN	["107956-N", "144309-N", "988-N"]
китобоец_NOUN	["209-N", "5543-N"]
селедочка_NOUN	["110964-N", "133100-N", "146398-N"]
фотографический_ADJ::пленка_NOUN	["132419-N", "9219-N"]
сизый_ADJ::цвет_NOUN	["106944-N", "109476-N", "109487-N"]
гостеприимство_NOUN	["118932-N", "118987-N", "119866-N"]
выколачивание_NOUN	["110908-N", "110910-N"]
корродирование_NOUN	["111369-N", "111951-N", "117072-N"]
