word	synsets
снабжать::горячей::водой_VERB	["106501-V", "5077-V"]
снабжать::горячей::водой_VERB	["112144-V", "489-V"]
обводнять_VERB	["112144-V", "489-V"]
обводнить_VERB	["112144-V", "489-V"]
напечатать::офсетным::способом_VERB	["114107-V", "114108-V", "110447-V"]
печатать::офсетным::способом_VERB	["114107-V", "114108-V", "110447-V"]
переплетать_VERB	["114107-V", "114108-V", "110447-V"]
переплести_VERB	["114107-V", "114108-V", "110447-V"]
переплетать_VERB	["106529-V", "7064-V", "106501-V"]
переплести_VERB	["106529-V", "7064-V", "106501-V"]
набрать_VERB	["114107-V", "114108-V", "110447-V"]
набирать_VERB	["114107-V", "114108-V", "110447-V"]
набирать::текст_VERB	["114107-V", "114108-V", "110447-V"]
набрать::текст_VERB	["114107-V", "114108-V", "110447-V"]
набрать_VERB	["112078-V", "112077-V"]
набирать_VERB	["112078-V", "112077-V"]
набирать::текст_VERB	["112078-V", "112077-V"]
набрать::текст_VERB	["112078-V", "112077-V"]
наверстать_VERB	["114107-V", "114108-V", "110447-V"]
сверстываться_VERB	["114107-V", "114108-V", "110447-V"]
верстать_VERB	["114107-V", "114108-V", "110447-V"]
сверстать_VERB	["114107-V", "114108-V", "110447-V"]
заверстать_VERB	["114107-V", "114108-V", "110447-V"]
сверстывать_VERB	["114107-V", "114108-V", "110447-V"]
наверстать_VERB	["106585-V", "106698-V"]
сверстываться_VERB	["106585-V", "106698-V"]
верстать_VERB	["106585-V", "106698-V"]
сверстать_VERB	["106585-V", "106698-V"]
заверстать_VERB	["106585-V", "106698-V"]
сверстывать_VERB	["106585-V", "106698-V"]
тиражировать_VERB	["114107-V", "106640-V", "114108-V", "110447-V"]
растиражировать_VERB	["114107-V", "106640-V", "114108-V", "110447-V"]
распечатать_VERB	["114107-V", "114108-V", "110447-V"]
распечатывать_VERB	["114107-V", "114108-V", "110447-V"]
распечатываться_VERB	["114107-V", "114108-V", "110447-V"]
распечатать::с::носителя::информации_VERB	["114107-V", "114108-V", "110447-V"]
напечатать::заново_VERB	["1359-V", "144051-V"]
перепечатать::заново_VERB	["1359-V", "144051-V"]
перепечатывать_VERB	["1359-V", "144051-V"]
перепечатать_VERB	["1359-V", "144051-V"]
напечатать::заново_VERB	["114107-V", "114108-V", "110447-V"]
перепечатать::заново_VERB	["114107-V", "114108-V", "110447-V"]
перепечатывать_VERB	["114107-V", "114108-V", "110447-V"]
перепечатать_VERB	["114107-V", "114108-V", "110447-V"]
перепечатать_VERB	["114107-V", "111619-V", "114108-V", "110447-V"]
перепечатывать_VERB	["114107-V", "111619-V", "114108-V", "110447-V"]
придумывать_VERB	["118572-V", "107199-V"]
напридумывать_VERB	["118572-V", "107199-V"]
насочинять_VERB	["118572-V", "107199-V"]
надумывать_VERB	["118572-V", "107199-V"]
из::пальца::высосать_VERB	["118572-V", "107199-V"]
измышлять_VERB	["118572-V", "107199-V"]
измыслить_VERB	["118572-V", "107199-V"]
досочинять_VERB	["118572-V", "107199-V"]
высосать::из::пальца_VERB	["118572-V", "107199-V"]
нафантазировать_VERB	["118572-V", "107199-V"]
придумать_VERB	["118572-V", "107199-V"]
напридумать_VERB	["118572-V", "107199-V"]
примыслить_VERB	["118572-V", "107199-V"]
примышлять_VERB	["118572-V", "107199-V"]
сочинить_VERB	["118572-V", "107199-V"]
сочинять_VERB	["118572-V", "107199-V"]
вымыслить_VERB	["118572-V", "107199-V"]
фантазировать_VERB	["118572-V", "107199-V"]
выдумывать_VERB	["118572-V", "107199-V"]
выдумать_VERB	["118572-V", "107199-V"]
придумывать_VERB	["111983-V", "111668-V"]
напридумывать_VERB	["111983-V", "111668-V"]
насочинять_VERB	["111983-V", "111668-V"]
надумывать_VERB	["111983-V", "111668-V"]
из::пальца::высосать_VERB	["111983-V", "111668-V"]
измышлять_VERB	["111983-V", "111668-V"]
измыслить_VERB	["111983-V", "111668-V"]
досочинять_VERB	["111983-V", "111668-V"]
высосать::из::пальца_VERB	["111983-V", "111668-V"]
нафантазировать_VERB	["111983-V", "111668-V"]
придумать_VERB	["111983-V", "111668-V"]
напридумать_VERB	["111983-V", "111668-V"]
примыслить_VERB	["111983-V", "111668-V"]
примышлять_VERB	["111983-V", "111668-V"]
сочинить_VERB	["111983-V", "111668-V"]
сочинять_VERB	["111983-V", "111668-V"]
вымыслить_VERB	["111983-V", "111668-V"]
фантазировать_VERB	["111983-V", "111668-V"]
выдумывать_VERB	["111983-V", "111668-V"]
выдумать_VERB	["111983-V", "111668-V"]
перетрясать_VERB	["111144-V", "115544-V"]
перетрясти_VERB	["111144-V", "115544-V"]
перетряхивать_VERB	["111144-V", "115544-V"]
перетряхнуть_VERB	["111144-V", "115544-V"]
перетрясать_VERB	["111021-V", "116221-V", "111656-V"]
перетрясти_VERB	["111021-V", "116221-V", "111656-V"]
перетряхивать_VERB	["111021-V", "116221-V", "111656-V"]
перетряхнуть_VERB	["111021-V", "116221-V", "111656-V"]
распотрошить_VERB	["118698-V", "119076-V"]
выпотрошить_VERB	["118698-V", "119076-V"]
выпотрошить::содержимое_VERB	["118698-V", "119076-V"]
потрошить_VERB	["118698-V", "119076-V"]
распотрошить_VERB	["110910-V", "111656-V", "116221-V", "110908-V", "110752-V", "111021-V"]
выпотрошить_VERB	["110910-V", "111656-V", "116221-V", "110908-V", "110752-V", "111021-V"]
выпотрошить::содержимое_VERB	["110910-V", "111656-V", "116221-V", "110908-V", "110752-V", "111021-V"]
потрошить_VERB	["110910-V", "111656-V", "116221-V", "110908-V", "110752-V", "111021-V"]
дренажировать_VERB	["106631-V", "121004-V"]
дренировать_VERB	["106631-V", "121004-V"]
дренажировать_VERB	["253-V", "3844-V"]
дренировать_VERB	["253-V", "3844-V"]
втереться_VERB	["113962-V", "115965-V", "144632-V"]
втираться_VERB	["113962-V", "115965-V", "144632-V"]
въесться_VERB	["113962-V", "115965-V", "144632-V"]
въедаться_VERB	["113962-V", "115965-V", "144632-V"]
всосаться_VERB	["113962-V", "115965-V", "144632-V"]
всасываться_VERB	["113962-V", "115965-V", "144632-V"]
прорваться::через::препятствие_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорываться_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорывать_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорваться::через::преграду_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорваться::силой_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорваться_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорвать_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
пробиться::через::препятствие_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорываться::через::преграду_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
пробиться_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
пробиваться_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
прорываться::через::препятствие_VERB	["115524-V", "107470-V", "111845-V", "117932-V", "126274-V", "115522-V"]
просочиться_VERB	["111845-V", "117932-V", "115522-V"]
просачиваться_VERB	["111845-V", "117932-V", "115522-V"]
класть::яйца_VERB	["116173-V", "116100-V"]
