word	synsets
налогообложение_NOUN	["106817-N", "116821-N"]
метеочувствительность_NOUN	["106629-N", "120126-N", "125011-N"]
внучок_NOUN	["132896-N", "148274-N", "2453-N", "3230-N", "3231-N"]
криминалистика_NOUN	["20-N", "4713-N"]
дизель-электрическая::установка_NOUN	["139369-N", "2070-N", "2072-N"]
контрольно-кассовая::машина_NOUN	["132488-N", "4497-N"]
душевная::травма_NOUN	["106833-N", "118523-N", "7789-N"]
таблеточка_NOUN	["1067-N", "1068-N", "147742-N", "6514-N"]
выпутывание_NOUN	["108870-N", "110908-N", "110910-N", "121100-N"]
самосожжение_NOUN	["111386-N", "142541-N", "7314-N"]
негласность_NOUN	["119024-N", "123474-N"]
ажиотаж_NOUN	["106564-N", "107254-N"]
правительственная::закупка_NOUN	["106865-N", "6582-N", "833-N"]
радиотелеграфный::канал_NOUN	["143535-N", "2566-N"]
токсин_NOUN	["1011-N", "959-N"]
чопорность_NOUN	["119073-N", "119074-N"]
безвизовая::поездка_NOUN	["115713-N", "149056-N"]
харьковчанин_NOUN	["369-N", "4773-N", "589-N"]
закапывание::лекарства_NOUN	["106938-N", "110720-N", "110751-N"]
пивзавод_NOUN	["141888-N", "3913-N"]
симбиотическое::сожительство_NOUN	["134892-N", "134894-N"]
отрицательная::рентабельность_NOUN	["107583-N", "130030-N", "2116-N"]
авиационный::конструктор_NOUN	["2391-N", "2393-N"]
номинальность_NOUN	["106764-N", "119311-N", "123515-N"]
чечевица_NOUN	["107871-N", "108112-N", "121353-N", "148475-N"]
монолит::породы_NOUN	["143683-N", "3919-N"]
товарищ::по::камере_NOUN	["139491-N", "589-N"]
герцоговина_NOUN	["100077-N", "106611-N", "7166-N"]
патронная::обойма_NOUN	["106553-N", "106554-N"]
документ::о::среднем::образовании_NOUN	["121677-N", "6420-N", "7061-N"]
электропылесос_NOUN	["1252-N", "132381-N"]
в::пределах::штрафной_NOUN	["107135-N", "107508-N"]
алкоголизм_NOUN	["131268-N", "154394-N", "3949-N", "4658-N"]
линц_NOUN	["123680-N", "145516-N", "242-N"]
винница_NOUN	["151357-N", "242-N", "8247-N"]
аппаратчица_NOUN	["133334-N", "2550-N"]
нимб::над::головой_NOUN	["107237-N", "107238-N"]
рефрижераторное::судно_NOUN	["126792-N", "144363-N", "4562-N", "5368-N"]
защитник_NOUN	["2064-N", "2598-N"]
опасность::взрыва_NOUN	["106547-N", "118739-N", "123477-N", "147719-N", "8193-N"]
стратегия_NOUN	["10175-N", "106589-N", "135215-N", "142491-N"]
