126551-N	["2553-N", "153536-N", "2453-N"]
126551-N	["4544-N", "147272-N"]
120440-N	["112037-N", "112039-N", "126984-N"]
120440-N	["141697-N", "116284-N"]
1277-N	["3197-N", "107671-N", "134606-N"]
1277-N	["2116-N", "107583-N", "7072-N"]
1277-N	["113161-N", "121974-N"]
1746-N	["2116-N", "107583-N", "7072-N"]
141479-N	["2116-N", "107583-N", "7072-N"]
147246-N	["2116-N", "107583-N", "7072-N"]
149509-N	["150878-N", "147449-N", "149212-N"]
149509-N	["2116-N", "107583-N", "7072-N"]
109570-N	["134047-N", "106587-N", "137121-N", "5920-N", "152303-N", "143590-N", "2661-N"]
115760-N	["106587-N", "5920-N", "152303-N", "143590-N", "2661-N"]
152353-N	["152303-N", "134047-N", "1489-N"]
152353-N	["5920-N", "2661-N", "106587-N"]
110438-N	["7239-N", "7242-N", "106606-N"]
147613-N	["7239-N", "7242-N", "106606-N"]
104745-N	["207-N", "242-N", "590-N", "136274-N", "144998-N"]
139387-N	["3208-N", "151357-N", "242-N", "136274-N", "144998-N"]
114996-N	["106938-N", "111022-N"]
115650-N	["106938-N", "111022-N"]
116671-N	["106938-N", "111022-N"]
116848-N	["111668-N", "111983-N"]
116848-N	["106938-N", "111022-N"]
117400-N	["106938-N", "111022-N"]
118269-N	["106938-N", "111022-N"]
137813-N	["115751-N", "117685-N", "107381-N"]
137813-N	["106938-N", "111022-N"]
151970-N	["106938-N", "111022-N"]
151970-N	["151967-N", "106828-N"]
126258-N	["107305-N", "124398-N"]
132937-N	["106924-N", "132915-N"]
132937-N	["118914-N", "106515-N"]
8802-N	["9454-N", "145529-N", "616-N", "131266-N"]
136162-N	["145529-N", "616-N", "7390-N", "6129-N"]
143760-N	["137819-N", "129701-N", "106495-N"]
143760-N	["108948-N", "111100-N"]
3472-N	["140071-N", "142491-N", "112077-N", "124530-N", "107256-N", "142340-N"]
124531-N	["112077-N", "124530-N", "107256-N"]
114728-N	["106817-N", "107175-N", "120166-N"]
133677-N	["106817-N", "107175-N", "120166-N"]
141605-N	["111902-N", "112070-N"]
110503-N	["4987-N", "145829-N"]
110711-N	["4987-N", "145829-N"]
126415-N	["4987-N", "145829-N"]
129164-N	["132529-N", "2982-N", "764-N", "1609-N"]
129165-N	["143374-N", "1616-N", "2982-N", "1609-N"]
118831-N	["118611-N", "125232-N", "150306-N"]
146433-N	["8642-N", "5161-N", "1047-N"]
4992-N	["647-N", "143391-N"]
4992-N	["107498-N", "106515-N"]
151705-N	["8217-N", "138593-N", "138403-N", "154-N"]
135849-N	["106698-N", "111189-N"]
135849-N	["546-N", "135041-N"]
135849-N	["106631-N", "135467-N"]
123533-N	["106817-N", "123532-N"]
133231-N	["106817-N", "123532-N"]
7364-N	["4474-N", "7198-N", "4860-N"]
129545-N	["134969-N", "150555-N", "134852-N", "110139-N", "10106-N", "111309-N"]
129545-N	["114011-N", "4474-N", "7198-N", "4860-N"]
130046-N	["4474-N", "7198-N", "4860-N"]
131890-N	["4474-N", "7198-N", "4860-N"]
138244-N	["4474-N", "7198-N", "4860-N"]
106126-N	["100046-N", "139862-N"]
106126-N	["105336-N", "132681-N", "369-N", "106292-N"]
106126-N	["106124-N", "139245-N"]
106127-N	["100046-N", "139862-N"]
106127-N	["105336-N", "132681-N", "369-N", "106292-N"]
106127-N	["106124-N", "139245-N"]
106293-N	["100046-N", "139862-N"]
106293-N	["105336-N", "132681-N", "369-N", "106292-N"]
120012-N	["137698-N", "119229-N", "118141-N"]
120012-N	["119599-N", "119600-N"]
139392-N	["119599-N", "119600-N"]
135699-N	["1449-N", "136717-N"]
136718-N	["1449-N", "136717-N"]
125069-N	["107165-N", "107163-N", "107150-N"]
125069-N	["2525-N", "128056-N"]
112872-N	["112933-N", "127389-N", "118713-N"]
112872-N	["106875-N", "106869-N", "118698-N"]
141961-N	["7612-N", "7194-N", "149658-N"]
141961-N	["6679-N", "122095-N"]
9797-N	["1033-N", "1026-N"]
152783-N	["1033-N", "1026-N"]
152783-N	["154441-N", "560-N"]
100050-N	["100046-N", "139862-N"]
100050-N	["3291-N", "132681-N", "1310-N"]
100050-N	["106197-N", "143651-N"]
106203-N	["100046-N", "139862-N"]
106203-N	["3291-N", "132681-N", "1310-N"]
106203-N	["106197-N", "143651-N"]
3113-N	["141920-N", "6960-N", "55-N"]
127312-N	["106631-N", "147039-N"]
127312-N	["107417-N", "112139-N"]
121061-N	["131342-N", "131616-N", "106721-N", "115977-N", "115978-N", "131645-N", "106533-N"]
121170-N	["131342-N", "106533-N", "131616-N"]
121170-N	["153471-N", "118698-N"]
123460-N	["131342-N", "106533-N", "131616-N"]
123460-N	["120667-N", "123461-N"]
123460-N	["106886-N", "106895-N", "106542-N"]
130053-N	["111085-N", "111066-N", "106587-N"]
130053-N	["106631-N", "106614-N", "106889-N", "145755-N"]
116251-N	["112003-N", "112004-N"]
115744-N	["111045-N", "115745-N"]
116563-N	["111045-N", "115745-N"]
120676-N	["111045-N", "115745-N"]
152570-N	["107539-N", "120138-N", "3057-N", "154161-N"]
145141-N	["468-N", "106555-N", "4435-N", "1320-N", "2067-N"]
132095-N	["125642-N", "125640-N", "131211-N"]
132095-N	["106817-N", "119127-N", "106473-N"]
128651-N	["120664-N", "150752-N", "119416-N"]
128651-N	["118957-N", "128653-N"]
115462-N	["9873-N", "9684-N"]
128015-N	["847-N", "525-N"]
131018-N	["847-N", "525-N"]
148666-N	["847-N", "525-N"]
151618-N	["847-N", "525-N"]
114598-N	["129710-N", "110474-N", "114934-N", "115104-N"]
115103-N	["129710-N", "115104-N"]
112430-N	["112429-N", "111853-N"]
112747-N	["112429-N", "111853-N"]
115742-N	["112429-N", "111853-N"]
116762-N	["112429-N", "111853-N"]
2641-N	["9923-N", "3208-N", "151357-N", "134783-N", "242-N", "2637-N"]
2641-N	["134321-N", "134313-N"]
2642-N	["9923-N", "2637-N", "242-N"]
2642-N	["134313-N", "134322-N"]
101484-N	["9923-N", "2637-N", "242-N"]
110160-N	["125812-N", "115808-N"]
110160-N	["145703-N", "115718-N"]
6959-N	["141920-N", "55-N"]
139179-N	["106690-N", "118698-N"]
139179-N	["106878-N", "107002-N", "150070-N", "107138-N", "106877-N", "115033-N"]
150071-N	["150070-N", "107002-N", "115033-N"]
135664-N	["154646-N", "151527-N"]
138461-N	["119061-N", "118490-N", "120142-N", "123455-N"]
140894-N	["119061-N", "118490-N"]
118489-N	["118141-N", "119061-N", "118490-N", "119060-N", "111133-N"]
138490-N	["119061-N", "118490-N"]
138490-N	["114019-N", "106775-N"]
128432-N	["114372-N", "118698-N"]
128432-N	["114441-N", "128431-N"]
128432-N	["120319-N", "116296-N"]
2299-N	["7020-N", "141357-N", "128173-N"]
108187-N	["122221-N", "4203-N", "122222-N"]
108187-N	["8818-N", "133570-N"]
108739-N	["133570-N", "8818-N"]
130740-N	["130755-N", "106555-N"]
130740-N	["130743-N", "107496-N"]
115051-N	["107412-N", "110832-N", "112810-N", "112080-N"]
115051-N	["120231-N", "328-N", "329-N", "331-N"]
140757-N	["106818-N", "106935-N", "142493-N"]
140757-N	["4894-N", "141381-N"]
112468-N	["111085-N", "111767-N"]
118154-N	["111085-N", "111767-N"]
131419-N	["128527-N", "124965-N", "9816-N"]
131419-N	["111085-N", "111767-N"]
151696-N	["106615-N", "115786-N", "115170-N"]
151696-N	["111085-N", "111767-N"]
4162-N	["148867-N", "4263-N", "4160-N", "4161-N"]
116497-N	["4263-N", "4160-N", "4161-N"]
119030-N	["118355-N", "125615-N", "115386-N", "119007-N", "139117-N"]
119672-N	["118355-N", "119007-N", "125615-N"]
151572-N	["118355-N", "119007-N", "125615-N"]
